State,Armas Utilizadas,
Arma de Fuego,6
Dinamita,63
Artefacto Incendiario,16
Balón bomba,1
Carro bomba,1
Cilindro bomba,2
Combustible,25
Granada,32
Mina antipersona,8
Moto bomba,1
Paquete bomba,3
